거래일자,시간,지역,전력거래량(MWh)
2013-01-01,01,강원도,1292.235502
2013-01-01,02,강원도,1205.309211
2013-01-01,03,강원도,1016.12585
2013-01-01,04,강원도,989.980467
2013-01-01,05,강원도,703.294448
2013-01-01,06,강원도,735.150348
2013-01-01,07,강원도,668.089344
2013-01-01,08,강원도,656.675819
2013-01-01,09,강원도,578.351197
2013-01-01,10,강원도,533.634409
2013-01-01,11,강원도,566.634512
2013-01-01,12,강원도,598.70153
2013-01-01,13,강원도,611.99783
2013-01-01,14,강원도,615.139648
2013-01-01,15,강원도,604.452779
2013-01-01,16,강원도,605.33543
2013-01-01,17,강원도,594.367357
2013-01-01,18,강원도,735.948117
2013-01-01,19,강원도,1018.240214
2013-01-01,20,강원도,1014.895876
2013-01-01,21,강원도,1024.644704
2013-01-01,22,강원도,1043.547281
2013-01-01,23,강원도,1280.548673
2013-01-01,24,강원도,1453.287011
2013-01-01,01,경기도,3070.036352
2013-01-01,02,경기도,2920.471748
2013-01-01,03,경기도,2867.075285
2013-01-01,04,경기도,2876.134115
2013-01-01,05,경기도,2991.876543
2013-01-01,06,경기도,3051.664155
2013-01-01,07,경기도,3051.43951
2013-01-01,08,경기도,3035.485299
2013-01-01,09,경기도,2791.038506
2013-01-01,10,경기도,2659.807021
2013-01-01,11,경기도,2640.976483
2013-01-01,12,경기도,2636.746687
2013-01-01,13,경기도,2631.26261
2013-01-01,14,경기도,2633.645103
2013-01-01,15,경기도,2629.421591
2013-01-01,16,경기도,2647.175871
2013-01-01,17,경기도,2853.769464
2013-01-01,18,경기도,3041.038587
2013-01-01,19,경기도,3116.207892
2013-01-01,20,경기도,3102.119931
2013-01-01,21,경기도,2926.189706
2013-01-01,22,경기도,2873.585231
2013-01-01,23,경기도,2918.440317
2013-01-01,24,경기도,3151.493164
2013-01-01,01,경상남도,7500.49749
2013-01-01,02,경상남도,7058.694367
2013-01-01,03,경상남도,7016.182188
2013-01-01,04,경상남도,6985.299645
2013-01-01,05,경상남도,7014.985235
2013-01-01,06,경상남도,7050.482115
2013-01-01,07,경상남도,7004.345706
2013-01-01,08,경상남도,6822.042902
2013-01-01,09,경상남도,6758.581636
2013-01-01,10,경상남도,6875.640151
2013-01-01,11,경상남도,7011.195387
2013-01-01,12,경상남도,6985.425618
2013-01-01,13,경상남도,6858.946395
2013-01-01,14,경상남도,6863.659124
2013-01-01,15,경상남도,6822.754952
2013-01-01,16,경상남도,6810.632483
2013-01-01,17,경상남도,6848.958701
2013-01-01,18,경상남도,6838.050994
2013-01-01,19,경상남도,7049.348797
2013-01-01,20,경상남도,7085.836939
2013-01-01,21,경상남도,7443.696366
2013-01-01,22,경상남도,7583.578906
2013-01-01,23,경상남도,7798.133719
2013-01-01,24,경상남도,8050.343111
2013-01-01,01,경상북도,8304.51592
2013-01-01,02,경상북도,8154.573371
2013-01-01,03,경상북도,8148.009369
2013-01-01,04,경상북도,8133.829048
2013-01-01,05,경상북도,8111.140854
2013-01-01,06,경상북도,8100.554495
2013-01-01,07,경상북도,8100.250696
2013-01-01,08,경상북도,8105.746244
2013-01-01,09,경상북도,8113.871303
2013-01-01,10,경상북도,8124.411873
