거래일자,시간,지역,전력거래량(MWh)
2016-01-01,01,강원도,928.905476
2016-01-01,02,강원도,699.925087
2016-01-01,03,강원도,679.830793
2016-01-01,04,강원도,677.955583
2016-01-01,05,강원도,681.979324
2016-01-01,06,강원도,683.486607
2016-01-01,07,강원도,680.659988
2016-01-01,08,강원도,602.684018
2016-01-01,09,강원도,575.66069
2016-01-01,10,강원도,544.285658
2016-01-01,11,강원도,544.486311
2016-01-01,12,강원도,617.444347
2016-01-01,13,강원도,599.178133
2016-01-01,14,강원도,600.260462
2016-01-01,15,강원도,606.24884
2016-01-01,16,강원도,594.317579
2016-01-01,17,강원도,599.386896
2016-01-01,18,강원도,927.178292
2016-01-01,19,강원도,1160.65365
2016-01-01,20,강원도,972.392676
2016-01-01,21,강원도,889.050761
2016-01-01,22,강원도,768.494015
2016-01-01,23,강원도,772.694669
2016-01-01,24,강원도,972.484509
2016-01-01,01,경기도,4436.219234
2016-01-01,02,경기도,3897.942571
2016-01-01,03,경기도,3561.2699
2016-01-01,04,경기도,3172.190778
2016-01-01,05,경기도,3168.900676
2016-01-01,06,경기도,3158.666375
2016-01-01,07,경기도,3189.271209
2016-01-01,08,경기도,3178.411804
2016-01-01,09,경기도,2974.533599
2016-01-01,10,경기도,2915.599381
2016-01-01,11,경기도,2844.563306
2016-01-01,12,경기도,2770.417059
2016-01-01,13,경기도,2774.087039
2016-01-01,14,경기도,2721.699469
2016-01-01,15,경기도,2519.0456
2016-01-01,16,경기도,2492.138868
2016-01-01,17,경기도,2494.36009
2016-01-01,18,경기도,2745.746313
2016-01-01,19,경기도,3111.694178
2016-01-01,20,경기도,3690.302253
2016-01-01,21,경기도,4161.226612
2016-01-01,22,경기도,4406.723329
2016-01-01,23,경기도,4364.26832
2016-01-01,24,경기도,4389.478445
2016-01-01,01,경상남도,7182.599978
2016-01-01,02,경상남도,6451.762327
2016-01-01,03,경상남도,5871.446216
2016-01-01,04,경상남도,5830.808759
2016-01-01,05,경상남도,5807.805389
2016-01-01,06,경상남도,5915.447852
2016-01-01,07,경상남도,5915.935965
2016-01-01,08,경상남도,5910.110933
2016-01-01,09,경상남도,5932.394088
2016-01-01,10,경상남도,5915.072041
2016-01-01,11,경상남도,5920.298918
2016-01-01,12,경상남도,5830.066728
2016-01-01,13,경상남도,5682.119316
2016-01-01,14,경상남도,5719.025638
2016-01-01,15,경상남도,5710.319581
2016-01-01,16,경상남도,5670.538577
2016-01-01,17,경상남도,5764.758631
2016-01-01,18,경상남도,6100.519782
2016-01-01,19,경상남도,6335.084414
2016-01-01,20,경상남도,6328.668106
2016-01-01,21,경상남도,6193.753486
2016-01-01,22,경상남도,6050.711712
2016-01-01,23,경상남도,6226.021876
2016-01-01,24,경상남도,6496.388777
2016-01-01,01,경상북도,10896.42761
2016-01-01,02,경상북도,10550.42478
2016-01-01,03,경상북도,10434.11224
2016-01-01,04,경상북도,10429.59798
2016-01-01,05,경상북도,10432.27365
2016-01-01,06,경상북도,10436.87077
2016-01-01,07,경상북도,10587.69539
2016-01-01,08,경상북도,10456.38565
2016-01-01,09,경상북도,10423.69573
2016-01-01,10,경상북도,10458.90132
2016-01-01,11,경상북도,10486.99829
2016-01-01,12,경상북도,10507.01183
2016-01-01,13,경상북도,10491.96911
2016-01-01,14,경상북도,10488.29516
2016-01-01,15,경상북도,10476.07001
2016-01-01,16,경상북도,10444.46236
2016-01-01,17,경상북도,10451.46677
2016-01-01,18,경상북도,10881.99945
2016-01-01,19,경상북도,10842.21218
2016-01-01,20,경상북도,10701.26851
2016-01-01,21,경상북도,10700.47661
2016-01-01,22,경상북도,10706.05264
2016-01-01,23,경상북도,10759.33554
2016-01-01,24,경상북도,10913.60019
2016-01-01,01,광주시,63.653529
2016-01-01,02,광주시,63.653367
2016-01-01,03,광주시,63.644073
2016-01-01,04,광주시,63.788231
2016-01-01,05,광주시,63.750129
2016-01-01,06,광주시,63.827432
2016-01-01,07,광주시,63.84144
2016-01-01,08,광주시,53.10788
2016-01-01,09,광주시,3.67191
2016-01-01,10,광주시,7.11821
2016-01-01,11,광주시,7.966643
2016-01-01,12,광주시,8.157556
2016-01-01,13,광주시,13.084615
2016-01-01,14,광주시,15.039926
2016-01-01,15,광주시,10.841851
2016-01-01,16,광주시,8.471056
2016-01-01,17,광주시,5.11799
2016-01-01,18,광주시,11.02259
2016-01-01,19,광주시,76.275252
2016-01-01,20,광주시,119.020831
2016-01-01,21,광주시,119.33444
2016-01-01,22,광주시,118.984436
2016-01-01,23,광주시,119.041675
2016-01-01,24,광주시,119.260868
2016-01-01,01,대구시,32.172813
2016-01-01,02,대구시,32.167143
2016-01-01,03,대구시,32.150079
2016-01-01,04,대구시,32.249772
2016-01-01,05,대구시,32.248572
2016-01-01,06,대구시,32.049598
2016-01-01,07,대구시,32.122242
2016-01-01,08,대구시,32.267755
2016-01-01,09,대구시,33.459079
2016-01-01,10,대구시,37.203032
2016-01-01,11,대구시,41.976078
2016-01-01,12,대구시,43.830729
2016-01-01,13,대구시,44.649113
2016-01-01,14,대구시,43.819497
2016-01-01,15,대구시,41.247294
2016-01-01,16,대구시,36.701712
2016-01-01,17,대구시,33.848744
2016-01-01,18,대구시,31.994822
2016-01-01,19,대구시,31.756569
2016-01-01,20,대구시,31.964805
2016-01-01,21,대구시,31.857411
2016-01-01,22,대구시,32.238364
2016-01-01,23,대구시,31.873203
2016-01-01,24,대구시,29.958557
2016-01-01,01,대전시,73.452036
2016-01-01,02,대전시,73.422944
2016-01-01,03,대전시,76.692784
2016-01-01,04,대전시,74.165616
2016-01-01,05,대전시,76.181504
2016-01-01,06,대전시,76.89374
2016-01-01,07,대전시,75.427156
2016-01-01,08,대전시,60.168348
2016-01-01,09,대전시,28.413368
2016-01-01,10,대전시,32.461264
2016-01-01,11,대전시,34.01106
2016-01-01,12,대전시,35.901756
2016-01-01,13,대전시,37.742064
2016-01-01,14,대전시,36.002672
2016-01-01,15,대전시,32.356296
2016-01-01,16,대전시,28.423448
2016-01-01,17,대전시,30.732184
2016-01-01,18,대전시,32.303508
2016-01-01,19,대전시,38.721648
2016-01-01,20,대전시,41.898976
2016-01-01,21,대전시,39.54496
2016-01-01,22,대전시,41.323296
2016-01-01,23,대전시,36.42184
2016-01-01,24,대전시,35.863968
2016-01-01,01,부산시,5512.021969
2016-01-01,02,부산시,5514.895186
2016-01-01,03,부산시,5514.153022
2016-01-01,04,부산시,5514.490148
2016-01-01,05,부산시,5513.683624
2016-01-01,06,부산시,5514.59532
2016-01-01,07,부산시,5513.155574
2016-01-01,08,부산시,5513.380565
2016-01-01,09,부산시,5517.197766
2016-01-01,10,부산시,5529.835716
2016-01-01,11,부산시,5537.819602
2016-01-01,12,부산시,5539.704023
2016-01-01,13,부산시,5542.823569
2016-01-01,14,부산시,5543.187201
2016-01-01,15,부산시,5539.756919
2016-01-01,16,부산시,5529.674788
2016-01-01,17,부산시,5520.428753
2016-01-01,18,부산시,5516.712243
2016-01-01,19,부산시,5515.737189
2016-01-01,20,부산시,5518.325971
2016-01-01,21,부산시,5515.343777
2016-01-01,22,부산시,5515.826896
2016-01-01,23,부산시,5517.823391
2016-01-01,24,부산시,5516.281421
2016-01-01,01,서울시,192.716391
2016-01-01,02,서울시,194.095977
2016-01-01,03,서울시,194.003174
2016-01-01,04,서울시,192.631003
2016-01-01,05,서울시,194.007992
2016-01-01,06,서울시,192.965701
2016-01-01,07,서울시,193.748062
2016-01-01,08,서울시,194.310907
2016-01-01,09,서울시,195.782164
2016-01-01,10,서울시,197.598944
2016-01-01,11,서울시,199.338186
2016-01-01,12,서울시,198.609451
2016-01-01,13,서울시,198.981705
2016-01-01,14,서울시,197.037524
2016-01-01,15,서울시,197.116907
2016-01-01,16,서울시,197.180216
2016-01-01,17,서울시,192.817552
2016-01-01,18,서울시,191.567479
