거래일자,시간,지역,전력거래량(MWh)
2015-01-01,01,강원도,1076.848968
2015-01-01,02,강원도,817.14381
2015-01-01,03,강원도,701.609114
2015-01-01,04,강원도,693.687372
2015-01-01,05,강원도,644.425945
2015-01-01,06,강원도,649.078568
2015-01-01,07,강원도,669.996816
2015-01-01,08,강원도,490.344873
2015-01-01,09,강원도,424.896845
2015-01-01,10,강원도,424.090964
2015-01-01,11,강원도,444.653175
2015-01-01,12,강원도,454.356163
2015-01-01,13,강원도,470.982711
2015-01-01,14,강원도,484.812208
2015-01-01,15,강원도,486.125324
2015-01-01,16,강원도,465.888816
2015-01-01,17,강원도,507.593659
2015-01-01,18,강원도,632.577151
2015-01-01,19,강원도,728.071362
2015-01-01,20,강원도,808.803572
2015-01-01,21,강원도,752.579503
2015-01-01,22,강원도,785.134648
2015-01-01,23,강원도,1061.416261
2015-01-01,24,강원도,1180.861527
2015-01-01,01,경기도,4569.987108
2015-01-01,02,경기도,4075.009885
2015-01-01,03,경기도,3632.373195
2015-01-01,04,경기도,3601.136057
2015-01-01,05,경기도,3602.813941
2015-01-01,06,경기도,3609.302743
2015-01-01,07,경기도,3511.544822
2015-01-01,08,경기도,3399.35397
2015-01-01,09,경기도,3351.811032
2015-01-01,10,경기도,3322.451452
2015-01-01,11,경기도,3328.615628
2015-01-01,12,경기도,3408.506937
2015-01-01,13,경기도,3471.72182
2015-01-01,14,경기도,3470.341124
2015-01-01,15,경기도,3345.156828
2015-01-01,16,경기도,3205.003642
2015-01-01,17,경기도,3196.340322
2015-01-01,18,경기도,3658.688904
2015-01-01,19,경기도,4116.228927
2015-01-01,20,경기도,4226.994035
2015-01-01,21,경기도,4418.683625
2015-01-01,22,경기도,4543.776852
2015-01-01,23,경기도,4481.261875
2015-01-01,24,경기도,4105.582004
2015-01-01,01,경상남도,7212.34925
2015-01-01,02,경상남도,6907.887716
2015-01-01,03,경상남도,6630.672309
2015-01-01,04,경상남도,6500.687056
2015-01-01,05,경상남도,6457.837636
2015-01-01,06,경상남도,6897.345521
2015-01-01,07,경상남도,7224.688264
2015-01-01,08,경상남도,6895.450665
2015-01-01,09,경상남도,6186.940909
2015-01-01,10,경상남도,5922.331116
2015-01-01,11,경상남도,5980.434507
2015-01-01,12,경상남도,6003.195426
2015-01-01,13,경상남도,5912.722189
2015-01-01,14,경상남도,6160.138015
2015-01-01,15,경상남도,6297.470169
2015-01-01,16,경상남도,6522.249596
2015-01-01,17,경상남도,6520.696156
2015-01-01,18,경상남도,6700.486336
2015-01-01,19,경상남도,7239.658023
2015-01-01,20,경상남도,6933.036164
2015-01-01,21,경상남도,6556.024853
2015-01-01,22,경상남도,6488.193704
2015-01-01,23,경상남도,6890.62922
2015-01-01,24,경상남도,7251.960553
2015-01-01,01,경상북도,8879.724897
2015-01-01,02,경상북도,8733.737653
2015-01-01,03,경상북도,8443.147545
2015-01-01,04,경상북도,8432.663515
2015-01-01,05,경상북도,8430.9851
2015-01-01,06,경상북도,8436.257016
2015-01-01,07,경상북도,8526.474022
2015-01-01,08,경상북도,8646.012384
2015-01-01,09,경상북도,8646.780362
2015-01-01,10,경상북도,8511.611927
2015-01-01,11,경상북도,8468.051051
2015-01-01,12,경상북도,8388.871093
2015-01-01,13,경상북도,8396.984785
2015-01-01,14,경상북도,8440.056303
2015-01-01,15,경상북도,8528.984628
2015-01-01,16,경상북도,8506.1688
2015-01-01,17,경상북도,8524.269472
2015-01-01,18,경상북도,8907.866184
2015-01-01,19,경상북도,9065.388728
2015-01-01,20,경상북도,8842.159265
2015-01-01,21,경상북도,8795.991321
2015-01-01,22,경상북도,8842.800161
2015-01-01,23,경상북도,9113.222706
2015-01-01,24,경상북도,9219.474165
2015-01-01,01,광주시,121.340764
2015-01-01,02,광주시,121.452916
2015-01-01,03,광주시,122.01974
2015-01-01,04,광주시,122.316428
2015-01-01,05,광주시,122.56358
2015-01-01,06,광주시,122.474608
2015-01-01,07,광주시,97.443174
2015-01-01,08,광주시,2.646879
2015-01-01,09,광주시,3.000487
2015-01-01,10,광주시,3.471029
2015-01-01,11,광주시,3.702815
2015-01-01,12,광주시,3.801561
2015-01-01,13,광주시,4.142503
2015-01-01,14,광주시,4.092533
2015-01-01,15,광주시,3.936857
2015-01-01,16,광주시,3.384094
2015-01-01,17,광주시,2.911879
2015-01-01,18,광주시,2.720237
2015-01-01,19,광주시,12.682615
2015-01-01,20,광주시,72.5711
2015-01-01,21,광주시,122.691705
2015-01-01,22,광주시,123.044418
2015-01-01,23,광주시,122.8765
2015-01-01,24,광주시,123.015908
2015-01-01,01,대구시,411.024475
2015-01-01,02,대구시,355.385829
2015-01-01,03,대구시,385.162408
2015-01-01,04,대구시,345.003462
2015-01-01,05,대구시,364.521163
2015-01-01,06,대구시,355.803976
2015-01-01,07,대구시,355.57768
2015-01-01,08,대구시,349.623622
2015-01-01,09,대구시,348.439554
2015-01-01,10,대구시,352.123306
2015-01-01,11,대구시,359.685892
2015-01-01,12,대구시,358.405336
2015-01-01,13,대구시,363.674165
2015-01-01,14,대구시,371.914447
2015-01-01,15,대구시,368.008988
2015-01-01,16,대구시,381.307436
2015-01-01,17,대구시,395.642499
2015-01-01,18,대구시,356.698314
2015-01-01,19,대구시,347.611774
2015-01-01,20,대구시,347.973108
2015-01-01,21,대구시,347.059561
2015-01-01,22,대구시,349.347306
2015-01-01,23,대구시,355.207414
2015-01-01,24,대구시,419.888608
2015-01-01,01,대전시,77.622972
2015-01-01,02,대전시,79.709644
2015-01-01,03,대전시,79.573508
2015-01-01,04,대전시,78.590204
2015-01-01,05,대전시,78.422484
2015-01-01,06,대전시,81.661048
2015-01-01,07,대전시,77.403508
2015-01-01,08,대전시,77.321636
2015-01-01,09,대전시,77.661368
2015-01-01,10,대전시,75.647084
2015-01-01,11,대전시,65.941868
2015-01-01,12,대전시,35.806076
2015-01-01,13,대전시,37.070768
2015-01-01,14,대전시,36.45128
2015-01-01,15,대전시,35.460584
2015-01-01,16,대전시,34.63428
2015-01-01,17,대전시,32.627316
2015-01-01,18,대전시,39.913504
2015-01-01,19,대전시,43.55736
2015-01-01,20,대전시,42.181328
2015-01-01,21,대전시,40.901392
2015-01-01,22,대전시,42.70896
2015-01-01,23,대전시,41.72504
2015-01-01,24,대전시,40.218976
2015-01-01,01,부산시,5686.959955
2015-01-01,02,부산시,5685.40082
2015-01-01,03,부산시,5683.198438
2015-01-01,04,부산시,5681.096137
2015-01-01,05,부산시,5677.115022
2015-01-01,06,부산시,5655.541884
2015-01-01,07,부산시,5640.230871
2015-01-01,08,부산시,5638.373465
2015-01-01,09,부산시,5640.508235
2015-01-01,10,부산시,5629.753573
2015-01-01,11,부산시,5660.416482
2015-01-01,12,부산시,5647.9083
2015-01-01,13,부산시,5652.923492
2015-01-01,14,부산시,5652.886424
2015-01-01,15,부산시,5645.767063
2015-01-01,16,부산시,5640.034044
2015-01-01,17,부산시,5635.942822
2015-01-01,18,부산시,5639.813223
2015-01-01,19,부산시,5631.012989
2015-01-01,20,부산시,5594.487544
2015-01-01,21,부산시,5549.278919
2015-01-01,22,부산시,5511.321325
2015-01-01,23,부산시,5487.749674
2015-01-01,24,부산시,5449.461946
2015-01-01,01,서울시,160.326415
2015-01-01,02,서울시,161.203244
2015-01-01,03,서울시,161.068407
2015-01-01,04,서울시,161.147947
2015-01-01,05,서울시,160.584922
2015-01-01,06,서울시,161.427519
2015-01-01,07,서울시,171.827688
2015-01-01,08,서울시,172.943173
2015-01-01,09,서울시,173.402505
2015-01-01,10,서울시,174.815249
2015-01-01,11,서울시,161.279196
2015-01-01,12,서울시,162.537176
2015-01-01,13,서울시,163.177328
2015-01-01,14,서울시,165.004245
2015-01-01,15,서울시,163.016159
2015-01-01,16,서울시,162.385012
2015-01-01,17,서울시,160.664082
2015-01-01,18,서울시,180.177819
2015-01-01,19,서울시,179.099751
2015-01-01,20,서울시,179.952447
2015-01-01,21,서울시,180.230709
2015-01-01,22,서울시,179.134129
2015-01-01,23,서울시,167.140286
2015-01-01,24,서울시,166.867629
2015-01-01,01,세종시,322.712432
2015-01-01,02,세종시,171.772528
2015-01-01,03,세종시,173.011248
2015-01-01,04,세종시,171.42208
2015-01-01,05,세종시,172.42216
2015-01-01,06,세종시,173.74368
2015-01-01,07,세종시,205.3692
2015-01-01,08,세종시,274.066736
2015-01-01,09,세종시,358.800028
2015-01-01,10,세종시,360.816705
2015-01-01,11,세종시,361.214555
2015-01-01,12,세종시,362.276593
2015-01-01,13,세종시,364.317617
2015-01-01,14,세종시,364.992666
2015-01-01,15,세종시,364.22218
2015-01-01,16,세종시,363.032563
2015-01-01,17,세종시,360.89286
2015-01-01,18,세종시,360.046988
2015-01-01,19,세종시,360.040544
2015-01-01,20,세종시,360.25816
2015-01-01,21,세종시,360.139936
2015-01-01,22,세종시,360.195408
2015-01-01,23,세종시,361.972864
2015-01-01,24,세종시,362.160336
2015-01-01,01,울산시,762.05816
2015-01-01,02,울산시,731.528127
2015-01-01,03,울산시,792.186087
2015-01-01,04,울산시,724.737875
2015-01-01,05,울산시,737.479451
2015-01-01,06,울산시,763.277947
2015-01-01,07,울산시,748.913389
2015-01-01,08,울산시,737.476812
2015-01-01,09,울산시,726.910825
2015-01-01,10,울산시,726.15225
2015-01-01,11,울산시,737.127689
2015-01-01,12,울산시,728.41688
2015-01-01,13,울산시,736.282497
2015-01-01,14,울산시,740.547599
2015-01-01,15,울산시,752.238558
2015-01-01,16,울산시,753.69688
2015-01-01,17,울산시,773.185903
2015-01-01,18,울산시,744.614318
2015-01-01,19,울산시,724.114422
2015-01-01,20,울산시,724.124121
2015-01-01,21,울산시,722.682911
2015-01-01,22,울산시,726.838838
2015-01-01,23,울산시,728.955692
2015-01-01,24,울산시,762.684767
2015-01-01,01,인천시,6621.36966
2015-01-01,02,인천시,6527.196339
2015-01-01,03,인천시,6554.122446
2015-01-01,04,인천시,6499.668425
2015-01-01,05,인천시,6528.333961
2015-01-01,06,인천시,6563.101987
2015-01-01,07,인천시,6574.440064
2015-01-01,08,인천시,6334.59083
2015-01-01,09,인천시,6171.905887
2015-01-01,10,인천시,5854.869012
2015-01-01,11,인천시,6125.806385
2015-01-01,12,인천시,6184.469214
2015-01-01,13,인천시,6249.319115
2015-01-01,14,인천시,6604.574181
2015-01-01,15,인천시,6930.726824
2015-01-01,16,인천시,6960.148713
2015-01-01,17,인천시,6958.727091
2015-01-01,18,인천시,7051.258915
2015-01-01,19,인천시,7111.877479
2015-01-01,20,인천시,7132.645242
2015-01-01,21,인천시,7214.567035
2015-01-01,22,인천시,7160.979899
2015-01-01,23,인천시,7431.503906
2015-01-01,24,인천시,7490.891386
2015-01-01,01,전라남도,8048.539368
2015-01-01,02,전라남도,7658.610006
2015-01-01,03,전라남도,7064.223641
2015-01-01,04,전라남도,6693.791419
2015-01-01,05,전라남도,6695.580994
2015-01-01,06,전라남도,6699.693971
2015-01-01,07,전라남도,6697.889591
2015-01-01,08,전라남도,6690.589582
2015-01-01,09,전라남도,6671.773512
2015-01-01,10,전라남도,6671.316751
2015-01-01,11,전라남도,6719.764895
2015-01-01,12,전라남도,6727.973975
2015-01-01,13,전라남도,6711.185479
2015-01-01,14,전라남도,6736.952327
2015-01-01,15,전라남도,6733.354856
2015-01-01,16,전라남도,6685.762745
2015-01-01,17,전라남도,6767.653463
2015-01-01,18,전라남도,6956.295449
2015-01-01,19,전라남도,6907.089978
2015-01-01,20,전라남도,6872.449277
2015-01-01,21,전라남도,6872.346004
2015-01-01,22,전라남도,6931.426351
2015-01-01,23,전라남도,6989.751682
2015-01-01,24,전라남도,7241.6221
2015-01-01,01,전라북도,573.96681
2015-01-01,02,전라북도,288.095741
2015-01-01,03,전라북도,288.595986
2015-01-01,04,전라북도,287.755804
2015-01-01,05,전라북도,284.683978
2015-01-01,06,전라북도,279.910889
2015-01-01,07,전라북도,315.667341
2015-01-01,08,전라북도,532.881527
2015-01-01,09,전라북도,292.505776
2015-01-01,10,전라북도,290.208355
2015-01-01,11,전라북도,300.914145
2015-01-01,12,전라북도,305.88063
2015-01-01,13,전라북도,312.219761
2015-01-01,14,전라북도,316.515642
2015-01-01,15,전라북도,314.122378
2015-01-01,16,전라북도,299.885649
2015-01-01,17,전라북도,315.509323
2015-01-01,18,전라북도,447.033111
2015-01-01,19,전라북도,703.253189
2015-01-01,20,전라북도,699.857205
2015-01-01,21,전라북도,652.302582
2015-01-01,22,전라북도,635.920083
2015-01-01,23,전라북도,668.544216
2015-01-01,24,전라북도,896.595152
2015-01-01,01,제주도,354.010954
2015-01-01,02,제주도,326.813836
2015-01-01,03,제주도,306.402168
2015-01-01,04,제주도,296.857976
2015-01-01,05,제주도,300.938429
2015-01-01,06,제주도,315.868928
2015-01-01,07,제주도,326.672017
2015-01-01,08,제주도,326.073924
2015-01-01,09,제주도,324.472549
2015-01-01,10,제주도,314.224673
2015-01-01,11,제주도,313.145016
2015-01-01,12,제주도,319.751666
2015-01-01,13,제주도,312.247
2015-01-01,14,제주도,318.613498
2015-01-01,15,제주도,323.72667
2015-01-01,16,제주도,343.640067
2015-01-01,17,제주도,360.769915
2015-01-01,18,제주도,368.425415
2015-01-01,19,제주도,394.055318
2015-01-01,20,제주도,391.582875
